delta_w_avg	delta_sw
-27.142547461235	-323.518448087086
-26.594213169089	-317.364111033281
-26.045878876943	-311.209777938876
-25.497544584797	-305.055463270957
-24.949210292650	-298.901158528648
-24.400876000504	-292.746846252506
-23.852541708358	-286.592535225098
-23.304207416212	-280.438016565719
-22.755873124066	-274.283557360119
-22.207538831920	-268.129319473654
-21.659204539774	-261.975028315146
-21.110870247627	-255.820685416097
-20.562535955481	-249.666431831716
-20.014201663335	-243.512043443782
-19.465867371189	-237.357798317850
-18.917533079043	-231.203360005206
-18.369198786897	-225.048988690067
-17.820864494750	-218.891783359540
-17.272530202604	-212.725018644156
-16.724195910458	-206.548113847804
-16.175861618312	-200.365434327113
-15.627527326166	-194.181933806344
-15.079193034020	-187.994139345204
-14.530858741873	-181.794896588501
-13.982524449727	-175.575229105955
-13.434190157581	-169.334319887285
-12.885855865435	-163.072339636415
-12.337521573289	-156.783895303090
-11.789187281143	-150.454362262233
-11.240852988996	-144.072716211335
-10.692518696850	-137.634993505185
-10.144184404704	-131.138891863911
-9.595850112558	-124.584082869019
-9.047515820412	-117.971500490004
-8.499181528266	-111.304929896749
-7.950847236119	-104.585273390436
-7.402512943973	-97.816919028656
-6.854178651827	-91.004725278082
-6.305844359681	-84.154650369923
-5.757510067535	-77.259564741177
-5.209175775389	-70.309297537744
-4.660841483242	-63.319317500059
-4.112507191096	-56.299092826412
-3.564172898950	-49.245780697633
-3.015838606804	-42.144868088225
-2.467504314658	-34.945624210181
-1.919170022512	-27.601462308064
-1.370835730365	-20.113484680449
-0.822501438219	-12.457576077485
-0.274167146073	-4.423380765229
0.274167146073	4.423357980640
0.822501438219	12.457563025363
1.370835730365	20.113485720625
1.919170022512	27.601463962237
2.467504314658	34.945627961212
3.015838606804	42.144875688226
3.564172898950	49.245777462660
4.112507191096	56.299091688383
4.660841483242	63.319315843402
5.209175775389	70.309296526725
5.757510067535	77.259562313419
6.305844359681	84.154649811461
6.854178651827	91.004724762071
7.402512943973	97.816918682106
7.950847236119	104.585273101182
8.499181528266	111.304929750512
9.047515820412	117.971500393903
9.595850112558	124.584082851246
10.144184404704	131.138891845531
10.692518696850	137.634993427833
11.240852988996	144.072715889233
11.789187281143	150.454361933139
12.337521573289	156.783893945187
12.885855865435	163.072339276094
13.434190157581	169.334319155941
13.982524449727	175.575228502056
14.530858741873	181.794895164799
15.079193034020	187.994138978483
15.627527326166	194.181933486271
16.175861618312	200.365434354034
16.724195910458	206.548113082436
17.272530202604	212.725017946351
17.820864494750	218.891783826677
18.369198786897	225.048989052339
18.917533079043	231.203360005206
19.465867371189	237.357798359222
20.014201663335	243.512043445482
20.562535955481	249.666431879878
21.110870247627	255.820685416097
21.659204539774	261.975028363308
22.207538831920	268.129319473654
22.755873124066	274.283557346888
23.304207416212	280.438016562632
23.852541708358	286.592535176937
24.400876000504	292.746846226224
24.949210292650	298.901158535328
25.497544584797	305.055463235718
26.045878876943	311.209777957306
26.594213169089	317.364110941592
27.142547461235	323.518447392006
