time,delta_D,curvat_trans,u,ay
0.0,0.0,-8.643726091679778e-05,9.722222222222221,-0.008170188628323864
0.0500000000001819,-0.09086077707009933,-0.000920289546940542,9.975841723751817,-0.09158483961350053
0.1000000000003638,-0.18168927173875,-0.0027378590423396856,9.963037569986097,-0.27176568629031567
0.1499999999996362,-0.27245321307428677,-0.004996454555945683,9.750738758994544,-0.4750474418784844
0.1999999999998181,-0.36312035308053636,-0.007530308749188971,9.612712359931344,-0.6958324487620919
0.25,-0.4536584781543769,-0.009643426712114097,9.591038481426244,-0.8870797210867792
0.3000000000001819,-0.5440354205310776,-0.011886077312418508,9.5966902351365,-1.0946656849948129
0.3500000000003638,-0.6342190697133524,-0.014214236542997053,9.6109176004263,-1.3129652928691795
0.3999999999996362,-0.724177383880067,-0.01656508445683731,9.624086665158117,-1.5343085488031962
0.4499999999998181,-0.8138784012705451,-0.018942518648631515,9.63283015415855,-1.7577031427666128
0.5,-0.9032902515404296,-0.021362503215428135,9.637165045702336,-1.9840414205307861
0.5500000000001819,-0.9923811670850654,-0.02378361986861079,9.638400809651309,-2.2094690359249514
0.6000000000003638,-1.0811194943263758,-0.026191080566695286,9.637956036175675,-2.432894621834848
0.6499999999996362,-1.1694737049592299,-0.028590057823106953,9.636866225478657,-2.655135530604924
0.6999999999998181,-1.2574124071532993,-0.03098181432956262,9.635710715128404,-2.8765660670486803
0.75,-1.3449043567064243,-0.0333641682917722,9.63472246983865,-3.0971249127585727
0.8000000000001819,-1.4319184681455328,-0.03573826188392294,9.633932633667293,-3.3169630773910086
0.8500000000003638,-1.5184238257711578,-0.038109879261121214,9.633283939576362,-3.5366028724524456
0.8999999999996362,-1.6043896946416403,-0.04048013465248951,9.632699981930722,-3.7561075282252196
0.9499999999998181,-1.6897855314931076,-0.04283687656146429,9.632123538368136,-3.9743113315254046
1.0,-1.7745809955913487,-0.04517381807581194,9.631526956530061,-4.190608479914033
1.050000000000182,-1.858745959511733,-0.04749573642751368,9.630898444183845,-4.405429265727928
1.1000000000003638,-1.9422505198433413,-0.04980262574736355,9.630233560498427,-4.618765157283979
1.1499999999996362,-2.025065007813504,-0.05209367843721313,9.629533421000565,-4.830538129181439
1.199999999999818,-2.107159999828977,-0.054372977316894,9.628799926680033,-5.041124693411579
1.25,-2.188506327930001,-0.05663791384000016,9.628034111402902,-5.250280288732092
1.300000000000182,-2.2690750901535437,-0.05888578285279801,9.627237884846908,-5.457752779327096
1.3500000000003638,-2.348837660802023,-0.06111716428522409,9.626412952468225,-5.6635947658537225
1.3999999999996362,-2.4277657006138873,-0.06333379967186765,9.62555826135106,-5.867963423606978
1.449999999999818,-2.5058311668324174,-0.06553476433206688,9.624672433262345,-6.070768294059874
1.5,-2.5830063231691804,-0.067718444606553,9.623755164330326,-6.271856394361209
1.550000000000182,-2.6592637496586122,-0.06988331426676166,9.622807188021513,-6.471084358126903
1.6000000000003638,-2.734576352400189,-0.07202868122000203,9.621829092308593,-6.668386141609146
1.6499999999996362,-2.8089173731847654,-0.07415306533646569,9.620820898687828,-6.863622169937485
1.699999999999818,-2.882260399001641,-0.07625420829617947,9.619783399637495,-7.056582176723043
1.75,-2.9545793714229736,-0.07832582431388667,9.61871850668518,-7.246685348113349
1.800000000000182,-3.025848595862219,-0.08036228844403898,9.61763096569478,-7.433417286910093
1.8500000000003638,-3.09604275070329,-0.08236238056404652,9.6165251300862,-7.616671626113359
1.8999999999996362,-3.165136896297208,-0.08432603836398726,9.61540312734959,-7.7964462889015245
1.949999999999818,-3.2331064838230454,-0.08625370225036777,9.614263620505476,-7.972780317245609
2.0,-3.2999273640099975,-0.08814438472441842,9.613103566703746,-8.145577742734373
2.050000000000182,-3.3655757957175116,-0.08999529657332785,9.611922856482202,-8.31458094473313
2.100000000000364,-3.430028454370393,-0.09180352917421367,9.610724929652914,-8.479527867047153
2.149999999999636,-3.4932624402459216,-0.09356734501145247,9.609513961519719,-8.64026675104996
2.199999999999818,-3.5552552866100133,-0.09528582782799673,9.608292752934538,-8.796719936514993
2.25,-3.615984967699539,-0.09695789429033438,9.607062842819609,-8.948792503076314
2.300000000000182,-3.675429906547981,-0.09858265597664245,9.605825485642702,-9.096407323798896
2.350000000000364,-3.733568982651619,-0.10015993866037047,9.604581861628631,-9.239553294052747
2.399999999999636,-3.790381539473551,-0.10168988460594412,9.603331182539424,-9.378244847020074
2.449999999999818,-3.845847391782857,-0.10317288187959789,9.602072804564397,-9.51251929594122
2.5,-3.8999468328263185,-0.10460766389518524,9.600807679123504,-9.64226456980532
2.550000000000182,-3.9526606413301337,-0.10599354814360239,9.59953824879215,-9.767425720655234
2.600000000000364,-4.003970088329145,-0.10733008497924436,9.598267849798074,-9.887971446609676
2.649999999999636,-4.053856943821148,-0.10861687523496026,9.597000041974164,-10.003875954699694
2.699999999999818,-4.102303483243931,-0.10985323577375544,9.595737680488131,-10.115086196520037
2.75,-4.149292493772719,-0.11103807048683913,9.594482664025573,-10.221509376832685
2.800000000000182,-4.194807280435816,-0.11217187747216084,9.593237799013663,-10.323201604573164
2.850000000000364,-4.238831672046243,-0.11325500639374146,9.592005573922453,-10.420204778961432
2.899999999999636,-4.28135002694729,-0.11428782967184965,9.590788890837768,-10.512563899894664
2.949999999999818,-4.3223472385699155,-0.11527077886220714,9.58959092752187,-10.600330121068092
3.0,-4.361808740800043,-0.11620437817480112,9.588414894252956,-10.68356328074159
3.050000000000182,-4.3997205131538335,-0.11708923303778307,9.587264009718098,-10.762330760459218
