time,mass,P_covariance,Tyf_engine,Tyf_brake,Tyr_brake,theta,vx,ax,ay,steer,flag_new_dataset
0.000000000000000000e+00,4.250220000000000255e+03,1.000000000000000000e+02,7.470886058679775488e+01,9.303477290245369957e+00,0.000000000000000000e+00,-0.000000000000000000e+00,1.402916287998617584e+01,6.525690154268900534e-01,6.106154371291620114e-02,3.088963245838683216e-02,0.000000000000000000e+00
1.000000000000000000e+00,4.250220000000000255e+03,1.000000000000000000e+02,1.738500201597962302e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.448817206564356219e+01,9.982635821715667435e-01,-1.930030018054566809e-01,5.019518912818066170e-02,0.000000000000000000e+00
2.000000000000000000e+00,4.250220000000000255e+03,1.000000000000000000e+02,1.697999068393403945e+02,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,1.549272163763093069e+01,9.663916814977692171e-01,3.460596204842675272e-01,-1.118132247400081131e-01,0.000000000000000000e+00
3.000000000000000000e+00,4.250220000000000255e+03,1.000000000000000000e+02,1.423844408495315861e+02,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,1.638129783517176463e+01,7.713849666265912841e-01,-9.018028386233596649e-02,3.384052374179449124e-02,0.000000000000000000e+00
4.000000000000000000e+00,4.250220000000000255e+03,1.000000000000000000e+02,1.191800085631228825e+02,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,1.705650594646929363e+01,5.951781362587106328e-01,-8.785988014428733339e-02,4.490015207127133132e-03,0.000000000000000000e+00
5.000000000000000000e+00,4.250220000000000255e+03,1.000000000000000000e+02,1.068265512628010327e+02,2.045666050339133957e+00,0.000000000000000000e+00,-0.000000000000000000e+00,1.762762153964808221e+01,5.117119040893097770e-01,-7.514464265811129917e-02,-2.359845451860281135e-03,0.000000000000000000e+00
6.000000000000000000e+00,4.250220000000000255e+03,1.000000000000000000e+02,9.778355422396739982e+01,4.013392539412336646e+00,0.000000000000000000e+00,-0.000000000000000000e+00,1.811059581278648167e+01,5.280210896214562188e-01,-6.379687661435635981e-02,-1.070003637689130420e-02,0.000000000000000000e+00
7.000000000000000000e+00,4.250220000000000255e+03,1.000000000000000000e+02,9.052219908949635396e+01,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,1.838798482980160287e+01,4.517612956676663738e-01,-7.151315553787700174e-02,-1.377907259762639440e-02,0.000000000000000000e+00
8.000000000000000000e+00,4.250220000000000255e+03,1.000000000000000000e+02,8.185926934367822128e+01,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,1.882544708689939483e+01,3.587582595731155233e-01,-7.191487012886142727e-02,-1.484445210163224966e-03,0.000000000000000000e+00
9.000000000000000000e+00,4.250220000000000255e+03,1.000000000000000000e+02,7.817465097212600256e+01,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,1.919298857041478001e+01,2.921092708848149755e-01,-6.525270870922619815e-02,-2.268077804134451328e-02,0.000000000000000000e+00
